Авдіївка	м. Авдіївка	\бульв. Шевченка\вул. 8 Березня\вул. 9-й квартал\вул. Абрикосова\вул. Белінського\вул. Весняна\вул. Виноградна\вул. Воробйова\вул. Гагаріна\вул. Героїв\вул. Грушевського\вул. Джерельна\вул. Добролюбова\вул. Довіри\вул. Донецька\вул. Дружби\вул. Єлагіна\вул. Заводська\вул. Зелена\вул. Каштанова\вул. Княгині Ольги\вул. Коксохіміків\вул. Колосова\вул. Комунальна\вул. Корольова\вул. Котляревського\вул. Коцюбинського\вул. Красна\вул. Леваневського\вул. Лермонтова\вул. Лесі Українки\вул. Ломоносова\вул. Маяковського\вул. Менделєєва\вул. Металургів\вул. Миру\вул. Молодіжна\вул. Нахімова\вул. Незалежності\вул. Некрасова\вул. Нечаєва\вул. Паркова\вул. Первомайська\вул. Перемоги\вул. Поштова\вул. Пушкіна\вул. Рубінова\вул. Садова\вул. Сапронова\вул. Свободи\вул. Сільгосптехніки\вул. Соборна\вул. Спортивна\вул. Степова\вул. Суворова\вул. Тимірязєва\вул. Тургенєва\вул. Фестивальна\вул. Франка\вул. Центральна\вул. Чайковського\вул. Чепижного\вул. Чернишевського\вул. Чехова\вул. Чистякова\вул. Чкалова\вул. Шевченка\вул. Шестакова\кв-л 9-й квартал\кв-л Будівельників\кв-л Ювілейний\пров. 50-и Річчя АКХЗ\пров. 50-ти Річчя АКХЗ\пров. Аптекарський\пров. Благодатний\пров. Больничний\пров. Гурова\пров. Залізничний\пров. Кар'єрний\пров. Клубний\пров. Козачий\пров. Лісний\пров. Міністерства шляхів та сполучення\пров. Робочий\пров. Світлий\пров. Сєдова\пров. Солов'яненко\пров. Стадіонний\пров. Стрілковий\пров. Суворова\пров. Театральний\пров. Тісний\пров. Толстого\пров. Шкільний\пров. Ясинуватський\проїзд Індустріальний\просп. Центральний
Слов'янський	с. Адамівка	\вул. 8-го Березня\вул. Героїв\вул. Зарічна\вул. Кобзаря\вул. Комплексна\вул. Миру\вул. Польова\вул. Рибаків\пров. Вишневий
Слов'янський	с. Андріївка (Андріївська сільська рада)	\вул. Лісова\вул. Миру\вул. Молодіжна\вул. Партизанська\вул. Перемоги\вул. Садова\вул. Самойленка\вул. Свободи\вул. Степова\вул. Труда\пров. Гаражний\пров. Парковий
Слов'янський	с. Богородичне	\в’їзд Благодатний\вул. Благодатна\вул. Західна\вул. Київська\вул. Кільцева\вул. Курортна\вул. Лісова\вул. Миру\вул. Молодіжна\вул. Паркова\вул. Партизанська\вул. Південна\вул. Підгірна\вул. Сечкина\вул. Соборна\вул. Сонячна\вул. Степова\вул. Центральна\вул. Широка\вул. Шкільна\вул. Ясна\вул. Яценко\пров. Батюка\пров. Благодатний\пров. Партизанський\пров. Степовий\пров. Центральний\пров. Шкільний\тупік Благодатний
Слов'янський	с. Варварівка	\вул. Зелена
Слов'янський	с. Васютинське	\вул. Північна\вул. Садова\вул. Центральна
Слов'янський	с. Глибока Макатиха	\вул. Руська
Слов'янський	с. Дмитрівка	\вул. 8 Березня\вул. Дружби\вул. Зарічна\вул. Космонавтів\вул. Мирна\вул. Мічуріна\вул. Північна\вул. Пушкіна\вул. Східна\вул. Юбілейна\вул. Южна
Слов'янський	с. Долина	\вул. Виноградна\вул. Перемоги\вул. Польова\вул. Приозерна\вул. Сечкина\вул. Соціалістична\вул. Харківська\вул. Шевченка\пров. Шевченка
Слов'янський	с. Іванівка	\вул. Калинова\вул. Лазурна
Слов'янський	с. Карпівка	\в’їзд Садовий\вул. Партизанська\вул. Приозерна\вул. Садова\вул. Степова\вул. Центральна\пров. Садовий\пров. Центральний
Слов'янський	с. Краснопілля	\вул. Вишнева\вул. Нижня\вул. Шкільна
Слов'янський	с. Мазанівка	\вул. Лісна\вул. Советська
Слов'янський	с. Майдан	\вул. Кутузова\вул. Миру\вул. Набережна\вул. Невського\вул. Некрасова\вул. Річна\вул. Суворова\вул. Центральна\вул. Шкільна\пров. Колхозний\пров. Павлова\пров. Річний\пров. Степовий\пров. Торецький
Слов'янський	с. Малинівка	\вул. Мороза\вул. Нова\вул. Приозерна\вул. Степна\вул. Центральна\вул. Шевченка\вул. Щорса
Слов'янський	с. Маяки	\вул. Астраханців\вул. Гагаріна\вул. Зелена\вул. Комарова\вул. Мелова\вул. Миру\вул. Нагорна\вул. Ратушна\вул. Сіверська\вул. Титова\вул. Травнева\вул. Шкільна\вул. Ясна\пров. Миру\пров. Партизанський\пров. Сіверський\пров. Травневий
Слов'янський	с. Маячка	\вул. Маячка\вул. Пушкіна\вул. Степова
Слов'янський	с. Микільське	\вул. Гончара\вул. Малиновського\вул. Миру\вул. Молодіжна\вул. Шкільна\пров. Степовий
Слов'янський	с. Мирне	\вул. Бєлгородська\вул. Врожайна\вул. Гагаріна\вул. Громова\вул. Дачна\вул. Конотопська\вул. Курська\вул. Миру\вул. Ніколюка\вул. Нова\вул. Остапа Вишні\вул. Рибна\вул. Садова\вул. Спортивна\вул. Ювілейна\пров. Дачний\пров. Спортивний
Слов'янський	с. Никонорівка	\вул. Підгірна\вул. Приозерна\вул. Пріозерна\вул. Центральна
Слов'янський	с. Новоандріївка	\вул. Северна\вул. Южна
Слов'янський	с. Новомиколаївка	\вул. Вишнева\вул. Квітуча\вул. Молодіжна\вул. Правди\вул. Спортивна\вул. Суворова\вул. Центральна\пров. Зарічний\пров. Квітучий
Слов'янський	с. Новоселівка	\вул. Виноградна\вул. Партизанська\вул. Центральна\вул. Южна\пров. Вишневий\пров. Луговий\пров. Польовий
Слов'янський	с. Олександрівка	\вул. Абрикосова\вул. Благодатна\вул. Богдана Хмельницького\вул. Вишнева\вул. Зарічна\вул. Зіркова\вул. Квіткова\вул. Колгоспна\вул. Леваневського\вул. Маяковського\вул. Миру\вул. Перемоги\вул. Пермська\вул. Совгоспна\вул. Сонячна\вул. Степова\вул. Центральна\вул. Шевченко\вул. Шкільна\вул. Ясна\пров. Зірковий\пров. Квітковий\пров. Перемоги\пров. Совгоспний\пров. Сонячний
Слов'янський	с. Оріхуватка	\вул. Гірна\вул. Дружби\вул. Лісна
Слов'янський	с. Першомар'ївка	\вул. Назва відсутня
Слов'янський	с. Пискунівка	\вул. Берегова\вул. Заовражна\вул. Лісова\вул. Набережна\вул. Сільська\вул. Центральна
Слов'янський	с. Прелесне	\вул. Гагаріна\вул. Колхозна\вул. Кошевого\вул. Приозерна\вул. Пушкіна\вул. Разіна\вул. Садова\вул. Соснова\вул. Степова\вул. Тиха\вул. Торецька\вул. Шевченка\вул. Шкільна\пров. Абрикосовий\пров. Вишневий\пров. Кооперативний\пров. Підгірний\пров. Спортивний\пров. Шкільний
Слов'янський	с. Привілля	\вул. Депутатська\вул. Комарова\вул. Матросова\вул. Миру\вул. Мічуріна\вул. Назаренко\вул. Садова\вул. Соснова\вул. Центральна\вул. Шкільна\пров. Залізничний\пров. Новий
Слов'янський	с. Пришиб	\вул. Партизанів\вул. Підгірна\вул. Степова
Слов'янський	с. Рай-Олександрівка	\вул. Дальня\вул. Зарічна\вул. Зелена\вул. Колгоспна\вул. Механізаторів\вул. Молодіжна\вул. Нагірна\вул. Нова\вул. Партизанська\вул. Підгірна\вул. Привільна\вул. Центральна\вул. Чалого\вул. Шкільна
Слов'янський	с. Роганське	\вул. Верхня\вул. Калініна\вул. Молодіжна\вул. Нижня\вул. Проїздна\вул. Сонячна
Слов'янський	с. Селезнівка	\вул. Вишнева\вул. Садова\вул. Торецька
Слов'янський	с. Сергіївка	\вул. Дальня\вул. Дачна\вул. Зарічна\вул. Зелена\вул. Лікарняна\вул. Лісна\вул. Лугова\вул. Миру\вул. Михайлівська\вул. Нова\вул. Озерна\вул. Паркова\вул. Партизанська\вул. Підгірна\вул. Польова\вул. Поштова\вул. Приовражна\вул. Садова\вул. Свободи\вул. Соборна\вул. Степова\вул. Червоний Кут\вул. Шевченка
Слов'янський	с. Сидорове	\вул. Берегова\вул. Первомайська\вул. Підлісна\вул. Садова\вул. Синельникова
Слов'янський	с. Стародубівка	\вул. Робоча
Слов'янський	с. Тетянівка	\вул. Гагаріна\вул. Миру\вул. Набережна\вул. Підгірна\вул. Підлісна\вул. Садова\вул. Центральна\пров. Миру
Слов'янський	с. Тихонівка	\вул. Вишнева\вул. Квіткова\вул. Підгірна\вул. Пріозерна
Слов'янський	с. Торець	\вул. Зелена\вул. Молодіжна
Слов'янський	с. Троїцьке	\вул. Лермонтова\вул. Пушкіна\вул. Садова\вул. Тургенєва\вул. Чехова\пров. Лермонтова
Слов'янський	с. Хрестище	\вул. Василя Стуса\вул. Виноградна\вул. Вишнева\вул. Денисенко\вул. Миру\вул. Північна\вул. Польова\вул. Садова\вул. Свободи\вул. Соборна\вул. Суворова\вул. Целіна\вул. Шевченка\вул. Ясна\пров. Гагаріна\пров. Миру\пров. Степовий\пров. Східний\пров. Шкільний
Слов'янський	с. Шнурки	\вул. Миру\вул. Степова
Слов'янський	с. Юрківка	\вул. Назва відсутня
Слов'янський	смт Андріївка (Андріївська селищна рада)	\вул. Гагаріна\вул. Горова\вул. Зарєчная\вул. Лугова\пров. Луговий
Слов'янський	смт Билбасівка	\в’їзд Підгірний\в’їзд Садовий\вул. Абрикосова\вул. Березова\вул. Благодатна\вул. Весняна\вул. Виноградна\вул. Вишнева\вул. Відродження\вул. Вільна\вул. Гагаріна\вул. Герцена\вул. Джерельна\вул. Дружби\вул. Жукова\вул. Залізнична\вул. Затишна\вул. Зоряна\вул. Калинова\вул. Квіткова\вул. Кремінна\вул. Кривоносова\вул. Леваневського\вул. Лесі Українки\вул. Лугова\вул. Мирна\вул. Мічуріна\вул. Мостова\вул. Нова\вул. Паркова\вул. Партизан\вул. Переїздна\вул. Перемоги\вул. Північна\вул. Покровська\вул. Польова\вул. Поштова\вул. Приозерна\вул. Пушкіна\вул. Рибхозна\вул. Річна\вул. Садова\вул. Сідова\вул. Соборна\вул. Сонячна\вул. Тиха\вул. Урожайна\вул. Федорова\вул. Франка\вул. Центральна\вул. Чкалова\вул. Шевченка\вул. Ширшова\вул. Шкільна\вул. Ювілейна\вул. Юстицій\вул. Яковенко\вул. Ясенова\вул. Ясна\пров. Березовий\пров. Благодатний\пров. Вчительський\пров. Дружби\пров. Залізничний\пров. Калиновий\пров. Космонавтів\пров. Мирний\пров. Підгірний\пров. Сінний\пров. Федорова\пров. Шкільний\пров. Яковенко\пров. Ясеновий\тупік Новий\тупік Партизан\тупік Ширшова
Слов'янський	смт Донецьке	\вул. Вишнева\вул. Мира\вул. Молодіжна\вул. Першотравнева\вул. Південна\вул. Польова\вул. Пушкінська\вул. Садова
Слов'янський	смт Райгородок	\вул. Абрикосова\вул. Ветеранів\вул. Виноградна\вул. Гагаріна\вул. Горького\вул. Донецька\вул. Дружби\вул. Залізнична\вул. Зарічна\вул. Кавказька\вул. Калинова\вул. Комарова\вул. Кооперативна\вул. Лиманська\вул. Лісова\вул. Миру\вул. Молодіжна\вул. Набережна\вул. Нагорна\вул. Партизанів\вул. Революції\вул. Свободи\вул. Соборна\вул. Східна\вул. Торецька\вул. Флотська\вул. Центральна\вул. Шевченка\вул. Ширшова\вул. Шкільна\вул. Шосейна\вул. Ювілейна\пров. 1 Центральний\пров. 2 Центральний\пров. 3 Центральний\пров. Абрикосовий\пров. Донецький\пров. Кавказький\пров. Комарова\пров. Кооперативний\пров. Лісовий\пров. Нагорний\пров. Партизанів\пров. Свободи\пров. Соборний\пров. Східний\пров. Флотський\пров. Шевченка\пров. Ювілейний
Слов'янський	смт Черкаське	\вул. Березова\вул. Бикова\вул. Гавриша\вул. Дружби\вул. Залізнична\вул. Зарічна\вул. Зелена\вул. Знаменівська\вул. Кутузова\вул. Миру\вул. Молодіжна\вул. Набережна\вул. Назва відсутня\вул. Островського\вул. Паркова\вул. Підгірна\вул. Робоча\вул. Свободи\вул. Транспортна\вул. Труда\вул. Шевченка\вул. Шидловська\вул. Шкільна\вул. Ясна\пров. Підгірний\пров. Річний\пров. Свободи\пров. Шевченка\пров. Ясний\тупік Другий\тупік Залізничний\тупік Знамінський
Торецьк	м. Залізне	\вул. Абрикосова\вул. Амосова\вул. Армійська\вул. Бєлінського\вул. Болгарська\вул. Варшавська\вул. Вишнева\вул. Гірняцька\вул. Гоголя\вул. Горіхова\вул. Дегтярьова\вул. Декабристів\вул. Донська\вул. Дружби\вул. Дубового\вул. Житомирська\вул. Запорізська\вул. Зелена\вул. Квітнева\вул. Київська\вул. Козацька\вул. Комарова\вул. Корольова\вул. Кутузова\вул. Лєрмонтова\вул. Ломоносова\вул. Маріупольська\вул. Маяковського\вул. Мирна\вул. Мінська\вул. Мічуріна\вул. Молдавська\вул. Нижня\вул. Нова\вул. Олега Кошевого\вул. Оріховська\вул. Пантелеймонівська\вул. Папаніна\вул. Партизанська\вул. Пархоменка\вул. Перемоги\вул. Петровського\вул. Північна\вул. Підстанція 330\вул. Пісочна\вул. Пушкіна\вул. Рєпіна\вул. Спортивна\вул. Степова\вул. Суворова\вул. Сумська\вул. Тімірязєва\вул. Толстого\вул. Торгова\вул. Травнева\вул. Тургенєва\вул. Українська\вул. Хмельницька\вул. Центральна\вул. Чернігівська\вул. Чехова\вул. Шахтарська\вул. Шкільна\вул. Шосейна\пров. Кримський\пров. Луганський\пров. Стаханівський\просп. Піонерів
Торецьк	м. Торецьк	\вул. 12-го Грудня\вул. 51-ї Армії\вул. 8-го Березня\вул. 91-ї дивізії\вул. 9-го Січня\вул. Айвазовського\вул. Акмолинська\вул. Ангарська\вул. Астраханська\вул. Бєлгородська\вул. Бєлінського\вул. Бєлякова\вул. Білоруська\вул. Богдана Хмельницького\вул. Бородіна\вул. Братська\вул. Будівельників\вул. Васнєцова\вул. Визволителів Донбасу\вул. Віктора Сорочука\вул. Віктора Якушина\вул. Володимирська\вул. Володіна\вул. Вугільників\вул. Гаврилова\вул. Гайдара\вул. Гамаюна\вул. Гастелло\вул. Героїв Праці\вул. Герцена\вул. Гірницька\вул. Глінки\вул. Гоголя\вул. Гомельська\вул. Горіхова\вул. Грибоєдова\вул. Григорія Сковороди\вул. Грузинська\вул. Грушевського\вул. Гужви\вул. Гулака-Артемовського\вул. Дарвіна\вул. Дачна\вул. Декабристів\вул. Доватора\вул. Довженко\вул. Догаєва\вул. Донбаська\вул. Донецька\вул. Дружби\вул. Зої Космодем'янської\вул. Івана Карабіца\вул. Індивідуальна\вул. Інженерно- технічних робітників\вул. Іркутська\вул. Історична\вул. Качалова\вул. Каштанова\вул. Кемеровська\вул. Керамічна\вул. Комарова\вул. Конституції\вул. Космонавтів\вул. Костромська\вул. Котовського\вул. Кочубея\вул. Краснодарська\вул. Краснодонська\вул. Красноярська\вул. Кременчуцька\вул. Кримська\вул. Лазарева\вул. Лермонтова\вул. Лесі Українки\вул. Лисенка\вул. Лізи Чайкіної\вул. Лікарняна\вул. Лісова\вул. Ломоносова\вул. Луганська\вул. Львівська\вул. Маріупольська\вул. Матросова\вул. Маяковського\вул. Мирна\вул. Мічуріна\вул. Молодіжна\вул. Молодої Гвардії\вул. Московська\вул. Мурманська\вул. Набережна\вул. Наборського\вул. Незалежності\вул. Некрасова\вул. Нестеренка\вул. Нечуя- Левицького\вул. Новоросійська\вул. Одеська\вул. Олега Кошового\вул. Онезька\вул. Оренбургська\вул. Орловська\вул. Освіти\вул. Павла Поповича\вул. Панфілова\вул. Папаніна\вул. Паризької Комуни\вул. Парова\вул. Партизанська\вул. Перемоги\вул. Пилипенка\вул. Пирогова\вул. Північна\вул. Покришкіна\вул. Ползунова\вул. Полтавська\вул. Польова\вул. Потьомкіна\вул. Псковська\вул. Пузанова\вул. Пушкаренка\вул. Пушкіна\вул. Радченко\вул. Римського-Корсакова\вул. Ринкова\вул. Різдвяна\вул. Ростовська\вул. Руднична\вул. Рябошапки\вул. Садова\вул. Салтикова - Щедріна\вул. Саратовська\вул. Світла\вул. Свободи\вул. Сергія Лазо\вул. Сєдова\вул. Сєчєнова\вул. Скачкова\вул. Смірнова\вул. Смоленська\вул. Соборна\вул. Сормовська\вул. Спортивна\вул. Стаханова\вул. Степана Разіна\вул. Степова\вул. Студентська\вул. Суворова\вул. Тамбовська\вул. Терешкової\вул. Тоболенка\вул. Толбухіна\вул. Толстого\вул. Торгова\вул. Трудова\вул. Тульська\вул. Українська\вул. Уханьова\вул. Фабрична\вул. Фестивальна\вул. Філатова\вул. Харківська\вул. Херсонська\вул. Хижняка\вул. Центральна\вул. Чапаєва\вул. Челюскіна\вул. Червона\вул. Червоний Профінтерн\вул. Червоні колодязі\вул. Черняховського\вул. Чкалова\вул. Чубенка\вул. Шахтна\вул. Шевченка\вул. Шмідта\вул. Щербакової\вул. Юності\вул. Яблочкова\пров. 1-й Гірський\пров. 1-й Травневий\пров. 2-й Гірський\пров. 2-й Травневий\пров. 3-й Гірський\пров. 4-й Гірський\пров. 5-й Гірський\пров. Гагаріна\пров. Громова\пров. Дружби\пров. Карело-Фінський\пров. Кримський\пров. Кубанський\пров. Лермонтова\пров. Магнітогорський\пров. Нахімова\пров. Новий\пров. Пирогова\пров. Попова\пров. Пугачова\пров. Раєвського\пров. Рижський\пров. Рязанський\пров. Спортивний\пров. Третій\пров. Федосєєва\пров. Червоний\пров. Чехова\просп. Другий\просп. Перший\просп. Шахтарів
Торецьк	с. Леонідівка	\вул. назва відсутня
Торецьк	с. Юр'ївка	\вул. Пушкіна
Торецьк	смт Курдюмівка	\вул. Ватутіна\вул. Вокзальна\вул. Донецька\вул. Заводська\вул. Керамічна\вул. Леонова\вул. Макарова\вул. Сонячна\вул. Тельмана\вул. Філатова\пров. Богдана Хмельницького\пров. Больничний\пров. Тельмана
Торецьк	смт Неліпівка	\вул. 1 Травня\вул. 8 Березня\вул. Грушевського\вул. Клубна\вул. Пушкіна\вул. Синєбрюхова\вул. Українська\вул. Центральна\вул. Шевченко\пров. Новий
Торецьк	смт Новгородське	\вул. 2-й Поштовий\вул. 8 Березня\вул. Армійська\вул. Берегова\вул. Великих Інтернаціоналістів\вул. Гагаріна\вул. Гоголя\вул. Горбусєва\вул. Горлівська\вул. Горького\вул. Декабристів\вул. Дружби\вул. Єсеніна\вул. Желізна\вул. Заводська\вул. Зарічна\вул. Зелена\вул. Квіткова\вул. Київська\вул. Комарова\вул. Кооперативна\вул. Лісна\вул. Лугова\вул. Межева\вул. Миронівська\вул. Молодіжна\вул. Нью-Йорська\вул. Озерського\вул. Островського\вул. Партизанська\вул. Первомайська\вул. Покровська\вул. Польова\вул. Поштова\вул. Ракетна\вул. Робітнича\вул. Садова\вул. Слов'янська\вул. Спортивна\вул. Степова\вул. Толстого\вул. Фестивальна\вул. Франка\вул. Шкільна\кв-л 1 Травня\кв-л Керамік\кв-л Нагорний\кв-л Цілинний\пров. 1-й Поштовий\пров. 1-й Театральний\пров. 2-й Театральний\пров. Вишневий\пров. Волі\пров. Горний\пров. Гужви\пров. Донецький\пров. Залізничий\пров. Зарічний\пров. Миру\пров. Набережний\пров. Низовий\пров. Перемоги\пров. Профсоюзний\пров. Шкільний
Торецьк	смт Петрівка	\вул. Воровського\вул. Зелена\вул. Польова\вул. Сонячна\вул. Степова\вул. Шахтарська\вул. Широка
Торецьк	смт Південне	\вул. 8 Березня\вул. Азовська\вул. Амурська\вул. Горлівська\вул. Загорна\вул. Залізнична\вул. Зарічна\вул. Калузька\вул. Каспійська\вул. Качалова\вул. Красна\вул. Кутузова\вул. Лісна\вул. Московська\вул. Нєкрасова\вул. Островського\вул. Пісочна\вул. Полтавська\вул. Польова\вул. Річна\вул. Садова\вул. Травнева\вул. Харківська\вул. Цвітна\вул. Чайковського\вул. Чапаєва\вул. Чернишевського\пров. Цілинний
Торецьк	смт Північне	\вул. 8-го Березня\вул. Базарна\вул. Бетховіна\вул. Верхня\вул. Гірницька\вул. Гірська\вул. Гоголя\вул. Гризодубової\вул. Дарвіна\вул. Дачна\вул. Донбаська\вул. Енгельса\вул. Зелена\вул. Ізотова\вул. Індивідуальна\вул. Калинова\вул. Карла Маркса\вул. Київська\вул. Короленко\вул. Кочегарка\вул. Кренкеля\вул. Кримська\вул. Лермонтова\вул. Літня\вул. Ломоносова\вул. Любима\вул. Магдалинівська\вул. Миролюбівська\вул. Миру\вул. Мічуріна\вул. Молодіжна\вул. Надії\вул. Народна\вул. Нахімова\вул. Національна\вул. Некрасова\вул. Нова\вул. Одеська\вул. Олега Кошевого\вул. Осипенка\вул. Осіння\вул. Павлова\вул. Партизанська\вул. Першотравнева\вул. Північна\вул. Продольна\вул. Пролетарська\вул. Рєпіна\вул. Родникова\вул. Руднична\вул. Саманна\вул. Світла\вул. Свободи\вул. Славна\вул. Сонячна\вул. Соцмісто\вул. Тиха\вул. Тургенєва\вул. Федорова\вул. Фестівальна\вул. Фінські Будинки\вул. Цвіточна\вул. Центральна\вул. Чернишевського\вул. Чехова\вул. Чкалова\вул. Шахтарська\вул. Шахтна\вул. Шевченка\вул. Ширшова\вул. Шкільна\вул. Шосейна\вул. Щаслива\вул. Щербинівська\вул. Юності\вул. Ягідна\пров. Базарний\пров. Будівельників\пров. Достоєвського\пров. Дунаєвського\пров. Корчагіна\пров. Космонавтів\пров. Кутузова\пров. Любимий\пров. Маріупільський\пров. Нахімова\пров. Нижній\пров. Олега Кошевого\пров. Райдужний\пров. Слов'янський\пров. Толстого\пров. Чайковського
Торецьк	смт Щербинівка	\вул. Васильченко\вул. Весняна\вул. Вишнева\вул. Воровського\вул. Дружби\вул. Енгельса\вул. Залізнична\вул. Зарічна\вул. Кленова\вул. Клименка\вул. Кривий Торець\вул. Лесі Українки\вул. Миру\вул. Молодіжна\вул. Паркова\вул. Перемоги\вул. Першотравнева\вул. Пилипенка\вул. Привокзальна\вул. Пролетарська\вул. Стара Крига\вул. Степова\вул. Центральна\вул. Червоноармійська\вул. Шевченка
Торецьк	с-ще Валентинівка	\вул. Валентинівка
Торецьк	с-ще Дачне	\вул. Гончарова\вул. Горького\вул. Добролюбова
Торецьк	с-ще Диліївка	\вул. Диліївська\вул. Станційна
Торецьк	с-ще Дружба	\вул. Вишнева\вул. Гагаріна\вул. Гайдара\вул. Грибоєдова\вул. Дальня\вул. Дружна\вул. Залізнична\вул. Зарічна\вул. Мирна\вул. Нестеренко\вул. Петра Великого\вул. Польова\вул. Садова\вул. Совхозна\вул. Солов'їна\вул. Станційна\вул. Степова\пров. Герцена\пров. Космонавтів\пров. Садовий
Торецьк	с-ще Кримське	\вул. Кримська
Торецьк	с-ще Озарянівка	\вул. Жуковського\вул. Комінтерна\вул. Південна\вул. Суворова\вул. Трудова\вул. Харьківська
Торецьк	с-ще Суха Балка	\вул. Маяковського\вул. Миру\вул. Мічуріна\вул. Молодіжна\вул. Набережна\вул. Степова\вул. Тимірязєва
Торецьк	с-ще Шуми	\вул. Назва відсутня\вул. Українська
Ясинуватський	с. Архангельське	\вул. Вишнева\вул. Крута\вул. Маяковського\вул. Наукова\вул. Садова\вул. Франко
Ясинуватський	с. Бердичі	\вул. Казберова\вул. Миру\вул. Садова\вул. Центральна
Ясинуватський	с. Веселе (Краногорівська сільска рада)	\вул. Дачна\вул. Лісова
Ясинуватський	с. Водяне	\вул. Набережна\вул. Приусадібна\вул. Степна\вул. Ювілейна
Ясинуватський	с. Восход	\вул. Дружби
Ясинуватський	с. Красногорівка	\вул. Вишнева\вул. Гагаріна\вул. Миру\вул. Садова\вул. Степова
Ясинуватський	с. Межове	\вул. Назва відсутня
Ясинуватський	с. Нетайлове	\вул. Безкоровайного\вул. Лазурна\вул. Лугова\вул. Миру\вул. Набережна\вул. Центральна\вул. Чкалова\пров. Придорожній\пров. Чкалова
Ясинуватський	с. Новобахмутівка (Новобахмутівська сільска рада)	\вул. Дачна\вул. Лісна\вул. Миру\вул. Мічуріна\вул. Молодіжна\вул. Садова\вул. Суворова\вул. Центральна\вул. Шевченко\вул. Шкільна
Ясинуватський	с. Новобахмутівка (Соловйовська сільска рада)	\вул. Гагаріна
Ясинуватський	с. Новокалинове	\вул. Бібліотечна\вул. Єсеніна\вул. Миру\вул. Садова\вул. Ставкова\вул. Степна\вул. Шосейна
Ясинуватський	с. Новопокровське	\вул. Назва відсутня
Ясинуватський	с. Новоселівка	\вул. Гагаріна\вул. Зелена\вул. Миру\вул. Паркова\вул. Центральна\пров. Центральний
Ясинуватський	с. Новоселівка Друга	\вул. Зарічна\вул. Польова\вул. Сопіна
Ясинуватський	с. Новоселівка Перша	\вул. Зелена\вул. Межева\вул. Миру\вул. Молодіжна\вул. Новоселів\вул. Первомайська\вул. Польова\вул. Садова\вул. Шкільна
Ясинуватський	с. Олександропіль	\вул. Донецька\вул. Зелена\вул. Молодіжна\вул. Степна
Ясинуватський	с. Орлівка	\вул. Братів Паукових\вул. Єлагіна\вул. Миру\вул. Новоселів\вул. Степна\вул. Шкільна
Ясинуватський	с. Пантелеймонівка	\вул. Зелена\вул. Степова
Ясинуватський	с. Первомайське	\вул. Гагаріна\вул. Ізмайлівська\вул. Миру\вул. Паркова\вул. Первомайська\вул. Шкільна\пров. Поштовий\пров. Шкільний
Ясинуватський	с. Семенівка	\вул. Назва відсутня
Ясинуватський	с. Скучне	\вул. Назва відсутня
Ясинуватський	с. Сокіл	\вул. Соколина
Ясинуватський	с. Соловйове	\вул. 40 років Перемоги\вул. Лермонтова\вул. Молодіжна\вул. Терешкової\вул. Чкалова
Ясинуватський	с. Тоненьке	\вул. Лугова\вул. Пріозерна\вул. Уманська\вул. Цвіточна\вул. Центральна\вул. Шкільна\пров. Шкільний\пров. Яснобродівський
Ясинуватський	с. Уманське	\вул. Батули\вул. Сонячна
Ясинуватський	с. Яснобродівка	\вул. Назва відсутня
Ясинуватський	смт Верхньоторецьке	\вул. Виноградна\вул. Вишнева\вул. Відродження\вул. Зарєчна\вул. Лазурна\вул. Лісова\вул. Миру\вул. Мічуріна\вул. Новобахмутівка\вул. Орєхова\вул. Первомайська\вул. Привокзальна\вул. Садова\вул. Шкільна\пров. Привокзальний
Ясинуватський	смт Желанне	\вул. Вишнева\вул. Дружби\вул. Желєзнодоріжна\вул. Заводська\вул. Залізнична\вул. Зелена\вул. Нова\вул. Первомайська\вул. Побєди\вул. Польова\вул. Центральна\вул. Шкільна\вул. Южна\пров. Колодязний\пров. Садовий
Ясинуватський	смт Керамік	\вул. Виноградна\вул. Дружби\вул. Зелена\вул. Польова\вул. Центральна\вул. Шкільна
Ясинуватський	смт Очеретине	\вул. Виноградна\вул. Вишнева\вул. Гідробудівників\вул. Гоголя\вул. Декабристів\вул. Дружби\вул. Енергетиків\вул. Желєзнодоріжна\вул. Заводська\вул. Зелена\вул. Каштанова\вул. Комарова\вул. Лермонтова\вул. Маяковського\вул. Миру\вул. Некрасова\вул. Первомайська\вул. Попова\вул. Пушкіна\вул. Садова\вул. Світла\вул. Степова\вул. Строітелів\вул. Учительська\вул. Фестивальна\вул. Чайковського\вул. Чкалова\вул. Шевченко
Ясинуватський	с-ще Ласточкине	\вул. Дружби\вул. Лісна\вул. Миру\вул. Новоселів\вул. Семенівка\вул. Степна
Ясинуватський	с-ще Невельське	\вул. Молодіжна\вул. Побєди\вул. Тітова\вул. Цвіточна\вул. Центральна\вул. Ювілейна
Ясинуватський	с-ще Опитне	\вул. Дружба\вул. Зарічна\вул. Набережна\вул. Научна\вул. Побєда\вул. Учительська
Ясинуватський	с-ще Піски	\вул. Леніна\вул. Миру\вул. Набережна\вул. Олімпійська\вул. Стадіонна\вул. Степна\вул. Тарасенко\вул. Чистякова
Ясинуватський	с-ще Сєверне	\вул. Леніна\вул. Миру
Ясинуватський	с-ще Степове	\вул. Гагаріна\вул. Миру\вул. Центральна
